DateResult: Day,IdQueue,NameMailSender,Count
2025-09-01T00:00:00+03:00,486,production-mail-sender-aws,127
2025-09-01T00:00:00+03:00,442,production100-mail-sender-101,124
2025-09-01T00:00:00+03:00,442,production100-mail-sender-103,124
2025-09-01T00:00:00+03:00,442,production100-mail-sender-102,123
2025-09-01T00:00:00+03:00,442,production-mail-sender-aws,119
2025-09-01T00:00:00+03:00,2144,production-mail-sender-aws,103
2025-09-01T00:00:00+03:00,656,production-mail-sender-aws,102
2025-09-01T00:00:00+03:00,409,production-mail-sender-aws,70
2025-09-01T00:00:00+03:00,189,production100-mail-sender-1,65
2025-09-01T00:00:00+03:00,189,production-mail-sender-1,64
2025-09-01T00:00:00+03:00,492,production100-mail-sender-101,56
2025-09-01T00:00:00+03:00,492,production-mail-sender-aws-21,56
2025-09-01T00:00:00+03:00,492,production100-mail-sender-102,55
2025-09-01T00:00:00+03:00,492,production100-mail-sender-103,55
2025-09-01T00:00:00+03:00,492,production100-mail-sender-105,55
2025-09-01T00:00:00+03:00,492,production-mail-sender-5,55
2025-09-01T00:00:00+03:00,491,production100-mail-sender-102,47
2025-09-01T00:00:00+03:00,491,production-mail-sender-2,47
2025-09-01T00:00:00+03:00,491,production-mail-sender-aws-21,47
2025-09-01T00:00:00+03:00,491,production100-mail-sender-101,46
2025-09-01T00:00:00+03:00,491,production100-mail-sender-103,46
2025-09-01T00:00:00+03:00,483,production-mail-sender-aws,44
2025-09-01T00:00:00+03:00,489,production-mail-sender-aws-2,44
2025-09-01T00:00:00+03:00,483,production100-mail-sender-105,40
2025-09-01T00:00:00+03:00,483,production100-mail-sender-107,39
2025-09-01T00:00:00+03:00,448,production-mail-sender-aws,36
2025-09-01T00:00:00+03:00,448,production-mail-sender-aws-2,36
2025-09-01T00:00:00+03:00,615,production100-mail-sender-113,34
2025-09-01T00:00:00+03:00,259,production100-mail-sender-104,32
2025-09-01T00:00:00+03:00,95,production-mail-sender-1,30
2025-09-01T00:00:00+03:00,615,production-mail-sender-aws,30
2025-09-01T00:00:00+03:00,62,production-mail-sender-1,29
2025-09-01T00:00:00+03:00,95,production100-mail-sender-101,29
2025-09-01T00:00:00+03:00,62,production-mail-sender-3,28
2025-09-01T00:00:00+03:00,62,production-mail-sender-2,27
